Title,Year,Director,Rating,,Number of Ratings,Country
On the Beach (2000),2023,Unknown,N/A,,14621,United States
Titan A.E. (2000),2000,Don Bluth,6.6,,N/A,Unknown
Final Fantasy: The Spirits Within (2001),2001,Hironobu Sakaguchi,6.4,,84463,United States
Megiddo: The Omega Code 2 (2001),2001,Brian Trenchard-Smith,3.9,,2993,United States
A.I. Artificial Intelligence (2001),2001,Steven Spielberg,7.2,,326048,United States
Blue Gender:The Warrior (2002),2002,Yasuhiro Geshi,5.5,,270,Japan
28 Days Later (2002),2002,Danny Boyle,7.5,,453660,United Kingdom
The Time Machine (2002),2002,Simon Wells,6.0,,131448,United States
Reign of Fire (2002),2002,Rob Bowman,6.2,,146889,United States
Resident Evil (2002),2002,Paul W.S. Anderson,6.6,,N/A,Unknown
Returner (2002),2002,Takashi Yamazaki,6.4,,11645,Japan
Terminator 3: Rise of the Machines (2003),2003,Jonathan Mostow,6.3,,422250,United States
Dragon Head (2003),2003,Jôji Iida,5.6,,264,Hong Kong
Dreamcatcher (2003),2003,Lawrence Kasdan,5.5,,97140,United States
Save the Green Planet! (2003),2003,Joon-Hwan Jang,7.2,,8874,South Korea
Time of the Wolf (2003),2003,Michael Haneke,6.4,,11657,France
The Animatrix (2003),2003,Peter Chung,7.3,,N/A,Unknown
The Matrix Reloaded (2003),2003,Lana Wachowski,7.2,,638151,United States
The Matrix Revolutions (2003),2003,Lana Wachowski,6.7,,549602,United States
Dawn of the Dead (2004),2004,Zack Snyder,7.3,,276034,United States
The Day After Tomorrow (2004),2004,Roland Emmerich,6.5,,483319,United States
Shaun of the Dead (2004),2004,Edgar Wright,7.9,,602478,United Kingdom
Resident Evil: Apocalypse (2004),2004,Alexander Witt,6.1,,212065,Germany
The Hitchhiker's Guide to the Galaxy (2005),2005,Garth Jennings,6.7,,209889,United Kingdom
Æon Flux (2005),2005,Karyn Kusama,5.4,,N/A,Unknown
The Prophecy: Forsaken (2005),2005,Joel Soisson,4.4,,1976,Romania
War of the Worlds (2005),2005,Steven Spielberg,6.5,,480673,United States
Land of the Dead (2005),2005,George A. Romero,6.2,,101606,France
Supervolcano (2005),2005,Tony Mitchell,6.6,,2559,United Kingdom
Children of Men (2006),2006,Alfonso Cuarón,7.9,,535957,United States
Idiocracy (2006),2006,Mike Judge,6.5,,189157,United States
Right at Your Door (2006),2006,Chris Gorak,6.0,,14494,United States
Solar Attack (2006),2006,Paul Ziller,4.0,,1178,Canada
Southland Tales (2006),2006,Richard Kelly,5.3,,N/A,Unknown
Planet Terror (2007),2007,Robert Rodriguez,7.0,,N/A,Unknown
Tooth and Nail (2007),N/A,Unknown,N/A,,3979,United States
The Signal (2007),N/A,Unknown,N/A,,N/A,Unknown
The Invasion (2007),2007,Oliver Hirschbiegel,5.9,,N/A,Unknown
Resident Evil: Extinction (2007),2007,Russell Mulcahy,6.2,,207372,Germany
20 Years After (2007),2008,Jim Torres,3.2,,1599,United States
The Dark Hour (2007),1936,Charles Lamont,5.4,,366,United States
Diary of the Dead (2007),2007,George A. Romero,5.5,,49549,United States
